descripcion,decision,equipo,estadio,arbitro
Minuto 14: Alan Velasco protagoniza una jugada polémica en Old Trafford entre Boca Juniors.,Gol válido,Manchester City,Etihad,Fernando Rapallini
Minuto 10: Erling Haaland protagoniza una jugada polémica en Old Trafford entre River Plate.,Offside,Liverpool,Bombonera,Fernando Rapallini
Minuto 13: Edinson Cavani protagoniza una jugada polémica en Old Trafford entre Boca Juniors.,Gol anulado,Manchester United,Libertadores de América,Wilton Sampaio
Minuto 59: Alan Velasco protagoniza una jugada polémica en Monumental entre Manchester United.,Penal,Boca Juniors,Monumental,Michael Oliver
Minuto 76: Erling Haaland protagoniza una jugada polémica en Old Trafford entre Manchester United.,Gol válido,Independiente,Anfield,Anthony Taylor
Minuto 1: Enzo Pérez protagoniza una jugada polémica en Anfield entre Manchester City.,Gol anulado,Liverpool,Etihad,Fernando Rapallini
Minuto 2: Erling Haaland protagoniza una jugada polémica en Etihad entre Manchester United.,Amarilla,Liverpool,Old Trafford,Facundo Tello
Minuto 46: Erling Haaland protagoniza una jugada polémica en Old Trafford entre Independiente.,Offside,Liverpool,Bombonera,Fernando Rapallini
Minuto 43: Edinson Cavani protagoniza una jugada polémica en Monumental entre Manchester United.,Gol anulado,Boca Juniors,Libertadores de América,Wilton Sampaio
Minuto 26: Erling Haaland protagoniza una jugada polémica en Old Trafford entre Boca Juniors.,Amarilla,River Plate,Monumental,Anthony Taylor
Minuto 67: Alan Velasco protagoniza una jugada polémica en Bombonera entre Boca Juniors.,Gol válido,Independiente,Etihad,Fernando Rapallini
Minuto 65: Erling Haaland protagoniza una jugada polémica en Old Trafford entre Boca Juniors.,Penal,Independiente,Anfield,Michael Oliver
Minuto 28: Erling Haaland protagoniza una jugada polémica en Monumental entre Manchester United.,Gol anulado,Liverpool,Old Trafford,Michael Oliver
Minuto 76: Edinson Cavani protagoniza una jugada polémica en Libertadores de América entre Independiente.,Offside,Independiente,Etihad,Fernando Rapallini
Minuto 85: Enzo Pérez protagoniza una jugada polémica en Etihad entre Manchester United.,Penal,River Plate,Bombonera,Fernando Rapallini
Minuto 39: Alan Velasco protagoniza una jugada polémica en Libertadores de América entre Manchester City.,Penal,Liverpool,Anfield,Wilton Sampaio
Minuto 87: Julián Álvarez protagoniza una jugada polémica en Bombonera entre River Plate.,Penal,Manchester United,Bombonera,Anthony Taylor
Minuto 21: Edinson Cavani protagoniza una jugada polémica en Etihad entre Liverpool.,Roja,Manchester City,Etihad,Michael Oliver
Minuto 61: Alan Velasco protagoniza una jugada polémica en Anfield entre Boca Juniors.,Gol válido,Boca Juniors,Monumental,Facundo Tello
Minuto 70: Julián Álvarez protagoniza una jugada polémica en Monumental entre Manchester United.,Gol válido,River Plate,Old Trafford,Anthony Taylor
Minuto 13: Enzo Pérez protagoniza una jugada polémica en Anfield entre River Plate.,Gol válido,Manchester United,Old Trafford,Michael Oliver
Minuto 5: Edinson Cavani protagoniza una jugada polémica en Libertadores de América entre Manchester City.,Gol válido,Independiente,Old Trafford,Michael Oliver
Minuto 53: Bruno Fernandes protagoniza una jugada polémica en Etihad entre Independiente.,Gol válido,Boca Juniors,Anfield,Michael Oliver
Minuto 16: Edinson Cavani protagoniza una jugada polémica en Anfield entre Liverpool.,Roja,Manchester City,Bombonera,Fernando Rapallini
Minuto 46: Alan Velasco protagoniza una jugada polémica en Anfield entre River Plate.,Gol anulado,Boca Juniors,Etihad,Michael Oliver
Minuto 15: Bruno Fernandes protagoniza una jugada polémica en Monumental entre Manchester City.,Amarilla,River Plate,Bombonera,Facundo Tello
Minuto 49: Edinson Cavani protagoniza una jugada polémica en Anfield entre Boca Juniors.,Roja,Liverpool,Old Trafford,Facundo Tello
Minuto 82: Erling Haaland protagoniza una jugada polémica en Etihad entre Independiente.,Offside,River Plate,Monumental,Fernando Rapallini
Minuto 21: Julián Álvarez protagoniza una jugada polémica en Monumental entre Manchester United.,Gol válido,Boca Juniors,Libertadores de América,Anthony Taylor
Minuto 20: Alan Velasco protagoniza una jugada polémica en Old Trafford entre Manchester City.,Offside,Manchester City,Bombonera,Darío Herrera
Minuto 33: Edinson Cavani protagoniza una jugada polémica en Monumental entre River Plate.,Roja,Independiente,Monumental,Wilton Sampaio
Minuto 70: Enzo Pérez protagoniza una jugada polémica en Etihad entre Boca Juniors.,No penal,River Plate,Anfield,Facundo Tello
Minuto 74: Erling Haaland protagoniza una jugada polémica en Old Trafford entre Manchester United.,Gol anulado,Manchester City,Etihad,Darío Herrera
Minuto 80: Enzo Pérez protagoniza una jugada polémica en Bombonera entre Independiente.,No penal,Manchester United,Monumental,Anthony Taylor
Minuto 50: Enzo Pérez protagoniza una jugada polémica en Anfield entre River Plate.,Gol válido,Independiente,Old Trafford,Michael Oliver
Minuto 25: Edinson Cavani protagoniza una jugada polémica en Monumental entre Liverpool.,Roja,Manchester City,Libertadores de América,Wilton Sampaio
Minuto 84: Alan Velasco protagoniza una jugada polémica en Monumental entre River Plate.,Roja,Independiente,Etihad,Facundo Tello
Minuto 47: Erling Haaland protagoniza una jugada polémica en Bombonera entre River Plate.,Amarilla,Boca Juniors,Libertadores de América,Darío Herrera
Minuto 31: Enzo Pérez protagoniza una jugada polémica en Etihad entre Boca Juniors.,Gol válido,Independiente,Anfield,Facundo Tello
Minuto 24: Erling Haaland protagoniza una jugada polémica en Libertadores de América entre Manchester United.,Gol válido,Manchester United,Anfield,Facundo Tello
Minuto 18: Erling Haaland protagoniza una jugada polémica en Bombonera entre River Plate.,No penal,Manchester United,Anfield,Darío Herrera
Minuto 86: Enzo Pérez protagoniza una jugada polémica en Libertadores de América entre Manchester City.,No penal,Manchester United,Old Trafford,Wilton Sampaio
Minuto 31: Julián Álvarez protagoniza una jugada polémica en Anfield entre Independiente.,Offside,Manchester United,Anfield,Wilton Sampaio
Minuto 37: Erling Haaland protagoniza una jugada polémica en Bombonera entre Manchester United.,Gol anulado,Liverpool,Bombonera,Michael Oliver
Minuto 15: Bruno Fernandes protagoniza una jugada polémica en Anfield entre Independiente.,Gol anulado,Independiente,Old Trafford,Facundo Tello
Minuto 75: Bruno Fernandes protagoniza una jugada polémica en Bombonera entre Manchester United.,Roja,Manchester United,Etihad,Facundo Tello
Minuto 55: Alan Velasco protagoniza una jugada polémica en Bombonera entre Independiente.,Amarilla,Boca Juniors,Old Trafford,Fernando Rapallini
Minuto 11: Bruno Fernandes protagoniza una jugada polémica en Anfield entre Manchester United.,Roja,Independiente,Anfield,Wilton Sampaio
Minuto 39: Julián Álvarez protagoniza una jugada polémica en Etihad entre Boca Juniors.,Penal,Manchester United,Libertadores de América,Anthony Taylor
Minuto 60: Bruno Fernandes protagoniza una jugada polémica en Anfield entre Boca Juniors.,Offside,Manchester City,Etihad,Michael Oliver
Minuto 78: Julián Álvarez protagoniza una jugada polémica en Monumental entre Manchester United.,Penal,Manchester City,Etihad,Facundo Tello
Minuto 18: Julián Álvarez protagoniza una jugada polémica en Old Trafford entre River Plate.,Gol válido,Manchester United,Bombonera,Darío Herrera
Minuto 86: Alan Velasco protagoniza una jugada polémica en Old Trafford entre Liverpool.,No penal,Liverpool,Etihad,Facundo Tello
Minuto 2: Erling Haaland protagoniza una jugada polémica en Monumental entre Independiente.,No penal,Independiente,Anfield,Darío Herrera
Minuto 81: Alan Velasco protagoniza una jugada polémica en Libertadores de América entre Manchester United.,Amarilla,Manchester United,Bombonera,Anthony Taylor
Minuto 24: Alan Velasco protagoniza una jugada polémica en Bombonera entre Manchester United.,Amarilla,Independiente,Monumental,Facundo Tello
Minuto 44: Bruno Fernandes protagoniza una jugada polémica en Monumental entre Manchester United.,No penal,Liverpool,Etihad,Facundo Tello
Minuto 11: Alan Velasco protagoniza una jugada polémica en Bombonera entre Manchester United.,No penal,Manchester City,Bombonera,Michael Oliver
Minuto 82: Alan Velasco protagoniza una jugada polémica en Bombonera entre Liverpool.,Gol anulado,Independiente,Etihad,Anthony Taylor
Minuto 72: Bruno Fernandes protagoniza una jugada polémica en Old Trafford entre Liverpool.,Roja,River Plate,Monumental,Facundo Tello
Minuto 30: Edinson Cavani protagoniza una jugada polémica en Monumental entre Manchester City.,Gol anulado,Liverpool,Libertadores de América,Michael Oliver
Minuto 78: Erling Haaland protagoniza una jugada polémica en Bombonera entre Independiente.,No penal,Boca Juniors,Bombonera,Michael Oliver
Minuto 25: Alan Velasco protagoniza una jugada polémica en Anfield entre Manchester City.,Penal,Liverpool,Bombonera,Facundo Tello
Minuto 20: Enzo Pérez protagoniza una jugada polémica en Anfield entre Manchester United.,Penal,Manchester City,Libertadores de América,Facundo Tello
Minuto 19: Edinson Cavani protagoniza una jugada polémica en Monumental entre Manchester United.,Gol anulado,River Plate,Etihad,Facundo Tello
Minuto 25: Bruno Fernandes protagoniza una jugada polémica en Libertadores de América entre Liverpool.,Gol válido,Manchester United,Old Trafford,Facundo Tello
Minuto 63: Bruno Fernandes protagoniza una jugada polémica en Old Trafford entre Manchester United.,Offside,Liverpool,Etihad,Wilton Sampaio
Minuto 78: Julián Álvarez protagoniza una jugada polémica en Bombonera entre Manchester United.,Amarilla,Independiente,Old Trafford,Anthony Taylor
Minuto 82: Enzo Pérez protagoniza una jugada polémica en Bombonera entre Liverpool.,Amarilla,Independiente,Old Trafford,Wilton Sampaio
Minuto 40: Bruno Fernandes protagoniza una jugada polémica en Etihad entre Manchester United.,Amarilla,Boca Juniors,Monumental,Facundo Tello
Minuto 74: Edinson Cavani protagoniza una jugada polémica en Anfield entre Manchester City.,Amarilla,Liverpool,Monumental,Darío Herrera
Minuto 19: Enzo Pérez protagoniza una jugada polémica en Monumental entre Manchester United.,No penal,River Plate,Libertadores de América,Anthony Taylor
Minuto 17: Alan Velasco protagoniza una jugada polémica en Monumental entre Boca Juniors.,Gol anulado,River Plate,Old Trafford,Facundo Tello
Minuto 71: Erling Haaland protagoniza una jugada polémica en Libertadores de América entre Liverpool.,Gol anulado,River Plate,Old Trafford,Michael Oliver
Minuto 62: Alan Velasco protagoniza una jugada polémica en Bombonera entre Independiente.,Amarilla,Manchester United,Old Trafford,Wilton Sampaio
Minuto 49: Alan Velasco protagoniza una jugada polémica en Libertadores de América entre Independiente.,Roja,Manchester United,Anfield,Facundo Tello
Minuto 79: Bruno Fernandes protagoniza una jugada polémica en Monumental entre River Plate.,Offside,Independiente,Anfield,Darío Herrera
Minuto 80: Erling Haaland protagoniza una jugada polémica en Monumental entre River Plate.,No penal,River Plate,Etihad,Anthony Taylor
Minuto 21: Edinson Cavani protagoniza una jugada polémica en Etihad entre Manchester City.,Gol anulado,Independiente,Old Trafford,Fernando Rapallini
Minuto 13: Julián Álvarez protagoniza una jugada polémica en Anfield entre River Plate.,Offside,Independiente,Bombonera,Fernando Rapallini
Minuto 67: Enzo Pérez protagoniza una jugada polémica en Anfield entre Boca Juniors.,Gol válido,River Plate,Monumental,Fernando Rapallini
Minuto 11: Alan Velasco protagoniza una jugada polémica en Libertadores de América entre Liverpool.,Offside,Manchester City,Bombonera,Darío Herrera
Minuto 56: Julián Álvarez protagoniza una jugada polémica en Libertadores de América entre Liverpool.,Roja,Independiente,Anfield,Wilton Sampaio
Minuto 77: Bruno Fernandes protagoniza una jugada polémica en Libertadores de América entre Manchester United.,Offside,Liverpool,Anfield,Darío Herrera
Minuto 75: Julián Álvarez protagoniza una jugada polémica en Bombonera entre Manchester City.,Penal,Liverpool,Old Trafford,Facundo Tello
Minuto 62: Edinson Cavani protagoniza una jugada polémica en Monumental entre River Plate.,Gol anulado,Manchester City,Etihad,Michael Oliver
Minuto 89: Bruno Fernandes protagoniza una jugada polémica en Monumental entre Boca Juniors.,Roja,Manchester City,Bombonera,Michael Oliver
Minuto 60: Enzo Pérez protagoniza una jugada polémica en Monumental entre Liverpool.,Gol anulado,Liverpool,Etihad,Fernando Rapallini
Minuto 23: Alan Velasco protagoniza una jugada polémica en Old Trafford entre River Plate.,Roja,Manchester City,Etihad,Anthony Taylor
Minuto 54: Erling Haaland protagoniza una jugada polémica en Etihad entre Liverpool.,Penal,River Plate,Old Trafford,Wilton Sampaio
Minuto 47: Alan Velasco protagoniza una jugada polémica en Old Trafford entre Independiente.,Roja,Manchester City,Bombonera,Darío Herrera
Minuto 8: Julián Álvarez protagoniza una jugada polémica en Anfield entre Manchester United.,Gol válido,Independiente,Monumental,Facundo Tello
Minuto 76: Alan Velasco protagoniza una jugada polémica en Libertadores de América entre Manchester United.,Offside,Liverpool,Bombonera,Anthony Taylor
Minuto 64: Enzo Pérez protagoniza una jugada polémica en Libertadores de América entre Manchester City.,Gol anulado,Liverpool,Monumental,Wilton Sampaio
Minuto 8: Alan Velasco protagoniza una jugada polémica en Libertadores de América entre Manchester City.,Roja,River Plate,Anfield,Facundo Tello
Minuto 31: Bruno Fernandes protagoniza una jugada polémica en Anfield entre Liverpool.,Offside,River Plate,Monumental,Facundo Tello
Minuto 48: Bruno Fernandes protagoniza una jugada polémica en Monumental entre Boca Juniors.,Offside,Independiente,Bombonera,Michael Oliver
Minuto 43: Bruno Fernandes protagoniza una jugada polémica en Old Trafford entre Boca Juniors.,Amarilla,Independiente,Monumental,Darío Herrera
Minuto 69: Edinson Cavani protagoniza una jugada polémica en Monumental entre Independiente.,Gol anulado,Liverpool,Libertadores de América,Wilton Sampaio
Minuto 10: Julián Álvarez protagoniza una jugada polémica en Anfield entre Manchester City.,No penal,Independiente,Old Trafford,Michael Oliver
Minuto 5: Julián Álvarez protagoniza una jugada polémica en Bombonera entre Manchester United.,Roja,Independiente,Libertadores de América,Darío Herrera
Minuto 64: Enzo Pérez protagoniza una jugada polémica en Anfield entre Manchester United.,Amarilla,Manchester City,Bombonera,Facundo Tello
Minuto 75: Alan Velasco protagoniza una jugada polémica en Monumental entre Manchester United.,Amarilla,Liverpool,Bombonera,Facundo Tello
Minuto 71: Edinson Cavani protagoniza una jugada polémica en Monumental entre Independiente.,Amarilla,Independiente,Libertadores de América,Fernando Rapallini
Minuto 61: Enzo Pérez protagoniza una jugada polémica en Old Trafford entre Independiente.,No penal,Boca Juniors,Monumental,Michael Oliver
Minuto 30: Julián Álvarez protagoniza una jugada polémica en Old Trafford entre Boca Juniors.,Penal,Liverpool,Bombonera,Anthony Taylor
Minuto 59: Alan Velasco protagoniza una jugada polémica en Old Trafford entre River Plate.,No penal,Boca Juniors,Old Trafford,Darío Herrera
Minuto 70: Enzo Pérez protagoniza una jugada polémica en Monumental entre Independiente.,Offside,Boca Juniors,Anfield,Anthony Taylor
Minuto 17: Alan Velasco protagoniza una jugada polémica en Anfield entre Manchester City.,Penal,Manchester United,Bombonera,Anthony Taylor
Minuto 64: Enzo Pérez protagoniza una jugada polémica en Libertadores de América entre Boca Juniors.,No penal,Manchester United,Monumental,Fernando Rapallini
Minuto 12: Erling Haaland protagoniza una jugada polémica en Bombonera entre Independiente.,Offside,River Plate,Monumental,Michael Oliver
Minuto 21: Erling Haaland protagoniza una jugada polémica en Anfield entre River Plate.,Offside,Boca Juniors,Monumental,Anthony Taylor
Minuto 71: Julián Álvarez protagoniza una jugada polémica en Bombonera entre Manchester United.,Gol válido,Liverpool,Old Trafford,Michael Oliver
Minuto 57: Erling Haaland protagoniza una jugada polémica en Old Trafford entre Boca Juniors.,Roja,River Plate,Anfield,Facundo Tello
Minuto 71: Enzo Pérez protagoniza una jugada polémica en Etihad entre Independiente.,Roja,Boca Juniors,Monumental,Wilton Sampaio
Minuto 34: Bruno Fernandes protagoniza una jugada polémica en Old Trafford entre Manchester City.,Gol anulado,Manchester City,Etihad,Anthony Taylor
Minuto 81: Erling Haaland protagoniza una jugada polémica en Anfield entre Liverpool.,Penal,Independiente,Etihad,Anthony Taylor
Minuto 66: Julián Álvarez protagoniza una jugada polémica en Libertadores de América entre Manchester United.,Amarilla,Manchester City,Bombonera,Fernando Rapallini
Minuto 83: Alan Velasco protagoniza una jugada polémica en Old Trafford entre Manchester City.,Penal,Boca Juniors,Old Trafford,Michael Oliver
Minuto 58: Alan Velasco protagoniza una jugada polémica en Monumental entre River Plate.,Roja,Manchester City,Anfield,Darío Herrera
Minuto 71: Julián Álvarez protagoniza una jugada polémica en Monumental entre River Plate.,Offside,River Plate,Old Trafford,Darío Herrera
Minuto 18: Edinson Cavani protagoniza una jugada polémica en Anfield entre Manchester United.,Gol válido,River Plate,Etihad,Anthony Taylor
Minuto 84: Julián Álvarez protagoniza una jugada polémica en Anfield entre Manchester United.,Gol anulado,River Plate,Libertadores de América,Wilton Sampaio
Minuto 17: Alan Velasco protagoniza una jugada polémica en Etihad entre Liverpool.,Roja,Boca Juniors,Etihad,Fernando Rapallini
Minuto 86: Erling Haaland protagoniza una jugada polémica en Monumental entre Boca Juniors.,Offside,Independiente,Etihad,Michael Oliver
Minuto 36: Alan Velasco protagoniza una jugada polémica en Anfield entre Manchester City.,Roja,Independiente,Etihad,Fernando Rapallini
Minuto 26: Bruno Fernandes protagoniza una jugada polémica en Monumental entre Independiente.,No penal,River Plate,Etihad,Darío Herrera
Minuto 16: Alan Velasco protagoniza una jugada polémica en Anfield entre Manchester City.,No penal,Manchester United,Monumental,Wilton Sampaio
Minuto 66: Alan Velasco protagoniza una jugada polémica en Anfield entre Boca Juniors.,Gol anulado,Independiente,Libertadores de América,Fernando Rapallini
Minuto 13: Julián Álvarez protagoniza una jugada polémica en Etihad entre Boca Juniors.,Roja,Manchester United,Monumental,Darío Herrera
Minuto 24: Enzo Pérez protagoniza una jugada polémica en Old Trafford entre River Plate.,Amarilla,Manchester United,Libertadores de América,Michael Oliver
Minuto 28: Bruno Fernandes protagoniza una jugada polémica en Etihad entre Manchester United.,Gol válido,River Plate,Etihad,Fernando Rapallini
Minuto 87: Bruno Fernandes protagoniza una jugada polémica en Old Trafford entre River Plate.,Gol válido,Boca Juniors,Bombonera,Facundo Tello
Minuto 70: Bruno Fernandes protagoniza una jugada polémica en Anfield entre Manchester United.,Offside,Manchester United,Bombonera,Fernando Rapallini
Minuto 37: Alan Velasco protagoniza una jugada polémica en Monumental entre Independiente.,Gol anulado,Independiente,Monumental,Fernando Rapallini
Minuto 79: Edinson Cavani protagoniza una jugada polémica en Old Trafford entre Independiente.,Roja,Independiente,Libertadores de América,Wilton Sampaio
Minuto 65: Bruno Fernandes protagoniza una jugada polémica en Libertadores de América entre Liverpool.,Gol anulado,Liverpool,Libertadores de América,Wilton Sampaio
Minuto 12: Edinson Cavani protagoniza una jugada polémica en Bombonera entre Manchester United.,No penal,Liverpool,Monumental,Anthony Taylor
Minuto 18: Julián Álvarez protagoniza una jugada polémica en Bombonera entre River Plate.,Offside,Manchester City,Monumental,Facundo Tello
Minuto 60: Edinson Cavani protagoniza una jugada polémica en Libertadores de América entre Manchester United.,Penal,Independiente,Old Trafford,Wilton Sampaio
Minuto 15: Erling Haaland protagoniza una jugada polémica en Anfield entre Liverpool.,Gol anulado,Independiente,Monumental,Facundo Tello
Minuto 71: Edinson Cavani protagoniza una jugada polémica en Bombonera entre Liverpool.,Gol válido,Boca Juniors,Anfield,Facundo Tello
Minuto 43: Edinson Cavani protagoniza una jugada polémica en Libertadores de América entre Independiente.,Gol anulado,Manchester City,Old Trafford,Fernando Rapallini
Minuto 34: Julián Álvarez protagoniza una jugada polémica en Old Trafford entre Boca Juniors.,Roja,Liverpool,Etihad,Anthony Taylor
Minuto 88: Bruno Fernandes protagoniza una jugada polémica en Anfield entre Independiente.,No penal,Boca Juniors,Monumental,Darío Herrera
Minuto 24: Alan Velasco protagoniza una jugada polémica en Anfield entre Manchester City.,Penal,Liverpool,Etihad,Anthony Taylor
Minuto 24: Alan Velasco protagoniza una jugada polémica en Bombonera entre Boca Juniors.,Amarilla,Independiente,Monumental,Fernando Rapallini
Minuto 75: Enzo Pérez protagoniza una jugada polémica en Old Trafford entre Manchester United.,Roja,Manchester City,Monumental,Facundo Tello
Minuto 54: Edinson Cavani protagoniza una jugada polémica en Anfield entre Manchester City.,Penal,Manchester United,Anfield,Facundo Tello
Minuto 59: Edinson Cavani protagoniza una jugada polémica en Libertadores de América entre Liverpool.,Offside,Boca Juniors,Libertadores de América,Facundo Tello
Minuto 32: Edinson Cavani protagoniza una jugada polémica en Old Trafford entre River Plate.,Roja,Boca Juniors,Bombonera,Facundo Tello
Minuto 81: Alan Velasco protagoniza una jugada polémica en Anfield entre Manchester United.,Gol válido,Independiente,Bombonera,Darío Herrera
Minuto 49: Julián Álvarez protagoniza una jugada polémica en Monumental entre Liverpool.,Roja,Manchester United,Anfield,Michael Oliver
Minuto 40: Erling Haaland protagoniza una jugada polémica en Anfield entre River Plate.,Gol válido,Independiente,Bombonera,Michael Oliver
Minuto 43: Julián Álvarez protagoniza una jugada polémica en Libertadores de América entre Manchester United.,Amarilla,Manchester City,Monumental,Wilton Sampaio
Minuto 37: Enzo Pérez protagoniza una jugada polémica en Libertadores de América entre Manchester City.,Roja,River Plate,Bombonera,Darío Herrera
Minuto 62: Erling Haaland protagoniza una jugada polémica en Etihad entre River Plate.,Gol anulado,Independiente,Anfield,Michael Oliver
Minuto 82: Enzo Pérez protagoniza una jugada polémica en Monumental entre Boca Juniors.,No penal,Manchester City,Anfield,Anthony Taylor
Minuto 89: Erling Haaland protagoniza una jugada polémica en Bombonera entre Manchester City.,Penal,Boca Juniors,Monumental,Facundo Tello
Minuto 83: Julián Álvarez protagoniza una jugada polémica en Anfield entre Manchester United.,Gol válido,Manchester City,Bombonera,Fernando Rapallini
Minuto 42: Erling Haaland protagoniza una jugada polémica en Monumental entre Liverpool.,Offside,Manchester United,Monumental,Anthony Taylor
Minuto 22: Julián Álvarez protagoniza una jugada polémica en Anfield entre River Plate.,Penal,River Plate,Libertadores de América,Facundo Tello
Minuto 63: Julián Álvarez protagoniza una jugada polémica en Anfield entre Manchester City.,Gol válido,River Plate,Old Trafford,Michael Oliver
Minuto 70: Erling Haaland protagoniza una jugada polémica en Bombonera entre River Plate.,Amarilla,Manchester City,Bombonera,Darío Herrera
Minuto 36: Bruno Fernandes protagoniza una jugada polémica en Etihad entre Boca Juniors.,No penal,Manchester City,Anfield,Michael Oliver
Minuto 62: Alan Velasco protagoniza una jugada polémica en Anfield entre Manchester United.,Amarilla,Boca Juniors,Etihad,Anthony Taylor
Minuto 82: Edinson Cavani protagoniza una jugada polémica en Bombonera entre Boca Juniors.,Gol válido,Manchester City,Monumental,Michael Oliver
Minuto 60: Erling Haaland protagoniza una jugada polémica en Anfield entre Boca Juniors.,Offside,River Plate,Bombonera,Michael Oliver
Minuto 48: Julián Álvarez protagoniza una jugada polémica en Bombonera entre Manchester City.,Gol anulado,Independiente,Anfield,Fernando Rapallini
Minuto 77: Julián Álvarez protagoniza una jugada polémica en Etihad entre River Plate.,No penal,Manchester City,Old Trafford,Fernando Rapallini
Minuto 13: Alan Velasco protagoniza una jugada polémica en Old Trafford entre Liverpool.,Gol anulado,Manchester United,Etihad,Wilton Sampaio
Minuto 64: Julián Álvarez protagoniza una jugada polémica en Monumental entre Boca Juniors.,Roja,Manchester City,Old Trafford,Facundo Tello
Minuto 69: Alan Velasco protagoniza una jugada polémica en Libertadores de América entre River Plate.,Penal,Liverpool,Monumental,Facundo Tello
Minuto 37: Julián Álvarez protagoniza una jugada polémica en Anfield entre Liverpool.,Amarilla,Boca Juniors,Monumental,Wilton Sampaio
Minuto 9: Alan Velasco protagoniza una jugada polémica en Anfield entre Boca Juniors.,Gol anulado,Manchester United,Bombonera,Darío Herrera
Minuto 22: Alan Velasco protagoniza una jugada polémica en Bombonera entre Boca Juniors.,Amarilla,Boca Juniors,Bombonera,Michael Oliver
Minuto 1: Erling Haaland protagoniza una jugada polémica en Bombonera entre Manchester City.,Offside,Manchester City,Anfield,Facundo Tello
Minuto 46: Erling Haaland protagoniza una jugada polémica en Bombonera entre Manchester United.,Offside,Independiente,Old Trafford,Wilton Sampaio
Minuto 43: Bruno Fernandes protagoniza una jugada polémica en Anfield entre Manchester City.,Gol anulado,River Plate,Bombonera,Facundo Tello
Minuto 26: Alan Velasco protagoniza una jugada polémica en Monumental entre Independiente.,Penal,Boca Juniors,Anfield,Anthony Taylor
Minuto 61: Alan Velasco protagoniza una jugada polémica en Libertadores de América entre Liverpool.,Gol anulado,River Plate,Old Trafford,Anthony Taylor
Minuto 51: Julián Álvarez protagoniza una jugada polémica en Libertadores de América entre Manchester City.,Penal,Independiente,Monumental,Wilton Sampaio
Minuto 71: Edinson Cavani protagoniza una jugada polémica en Libertadores de América entre River Plate.,Penal,Boca Juniors,Bombonera,Fernando Rapallini
Minuto 23: Erling Haaland protagoniza una jugada polémica en Monumental entre Boca Juniors.,Gol anulado,River Plate,Anfield,Anthony Taylor
Minuto 35: Julián Álvarez protagoniza una jugada polémica en Etihad entre Manchester City.,Amarilla,Boca Juniors,Old Trafford,Fernando Rapallini
Minuto 66: Alan Velasco protagoniza una jugada polémica en Libertadores de América entre Boca Juniors.,No penal,Manchester City,Monumental,Fernando Rapallini
Minuto 74: Bruno Fernandes protagoniza una jugada polémica en Old Trafford entre Independiente.,Gol anulado,Manchester United,Libertadores de América,Darío Herrera
Minuto 12: Erling Haaland protagoniza una jugada polémica en Monumental entre Manchester United.,Gol anulado,Manchester United,Etihad,Fernando Rapallini
Minuto 67: Erling Haaland protagoniza una jugada polémica en Bombonera entre Liverpool.,Offside,Independiente,Bombonera,Fernando Rapallini
Minuto 54: Edinson Cavani protagoniza una jugada polémica en Bombonera entre Boca Juniors.,Gol anulado,Independiente,Monumental,Anthony Taylor
Minuto 19: Bruno Fernandes protagoniza una jugada polémica en Old Trafford entre Manchester United.,No penal,Independiente,Monumental,Michael Oliver
Minuto 17: Alan Velasco protagoniza una jugada polémica en Old Trafford entre River Plate.,Amarilla,Independiente,Etihad,Michael Oliver
Minuto 37: Enzo Pérez protagoniza una jugada polémica en Anfield entre Manchester United.,Roja,Independiente,Old Trafford,Michael Oliver
Minuto 8: Bruno Fernandes protagoniza una jugada polémica en Old Trafford entre Liverpool.,Amarilla,Independiente,Anfield,Wilton Sampaio
Minuto 85: Bruno Fernandes protagoniza una jugada polémica en Anfield entre Liverpool.,No penal,Manchester United,Etihad,Anthony Taylor
Minuto 73: Bruno Fernandes protagoniza una jugada polémica en Anfield entre River Plate.,Roja,Boca Juniors,Libertadores de América,Facundo Tello
Minuto 77: Bruno Fernandes protagoniza una jugada polémica en Bombonera entre Manchester United.,Penal,River Plate,Etihad,Anthony Taylor
Minuto 58: Bruno Fernandes protagoniza una jugada polémica en Etihad entre Boca Juniors.,Gol anulado,Independiente,Libertadores de América,Anthony Taylor
Minuto 58: Julián Álvarez protagoniza una jugada polémica en Monumental entre Independiente.,Roja,Liverpool,Monumental,Fernando Rapallini
Minuto 24: Alan Velasco protagoniza una jugada polémica en Libertadores de América entre Manchester City.,Amarilla,Manchester United,Bombonera,Fernando Rapallini
Minuto 43: Bruno Fernandes protagoniza una jugada polémica en Old Trafford entre Manchester City.,No penal,Liverpool,Libertadores de América,Wilton Sampaio
Minuto 49: Alan Velasco protagoniza una jugada polémica en Old Trafford entre River Plate.,Penal,Independiente,Monumental,Darío Herrera
Minuto 59: Bruno Fernandes protagoniza una jugada polémica en Bombonera entre Liverpool.,Amarilla,Independiente,Libertadores de América,Fernando Rapallini
Minuto 45: Alan Velasco protagoniza una jugada polémica en Anfield entre Boca Juniors.,Amarilla,Independiente,Libertadores de América,Fernando Rapallini
Minuto 44: Enzo Pérez protagoniza una jugada polémica en Etihad entre Independiente.,Gol válido,Liverpool,Libertadores de América,Fernando Rapallini
Minuto 83: Edinson Cavani protagoniza una jugada polémica en Libertadores de América entre Liverpool.,Gol válido,River Plate,Libertadores de América,Fernando Rapallini
Minuto 57: Erling Haaland protagoniza una jugada polémica en Etihad entre River Plate.,Amarilla,Manchester City,Anfield,Anthony Taylor
